time,rotation,gamma,N1,N2,exp,,Re = 90
0,0,1,1123,0
83.599,13.3052,0.458554,827,307,0.42461861368825
83.799,13.337,0.456502,812,303,0.42495796755136
83.999,13.3689,0.463458,821,301,0.42527340787585
84.199,13.4007,0.468218,820,297,0.42565525379709
84.399,13.4325,0.464889,824,301,0.42608088125912
84.599,13.4644,0.466071,821,299,0.42646896244653
84.799,13.4962,0.473968,821,293,0.42686498282206
84.999,13.528,0.480176,840,295,0.42733601299384
85.199,13.5599,0.476734,841,298,0.42786441286391
85.399,13.5917,0.467826,844,306,0.42835310873527
85.599,13.6235,0.450342,847,321,0.42874783764791
85.799,13.6553,0.443211,845,326,0.42896377927143
85.999,13.6872,0.434894,843,332,0.42910625147872
86.199,13.719,0.427592,833,334,0.42916412896393
86.399,13.7508,0.437126,840,329,0.42914840767429
86.599,13.7827,0.42906,836,334,0.42922818359755
86.799,13.8145,0.43696,832,326,0.42922650176158
86.999,13.8463,0.418685,820,336,0.42930383674396
87.199,13.8782,0.42732,815,327,0.42919764837652
87.399,13.91,0.418848,813,333,0.42917887189275
87.599,13.9418,0.413945,801,332,0.42907556317383
87.799,13.9737,0.424486,797,322,0.42892425754209
87.999,14.0055,0.427305,805,323,0.42887987496667
88.199,14.0373,0.437445,810,317,0.428864126217
88.399,14.0691,0.441281,810,314,0.42894993495483
88.599,14.101,0.422735,801,325,0.42907324560528
88.799,14.1328,0.416071,793,327,0.42900986314923
88.999,14.1646,0.424322,814,329,0.42888047451774
89.199,14.1965,0.417766,806,331,0.42883488977256
89.399,14.2283,0.418848,813,333,0.42872420087483
89.599,14.2601,0.411354,808,337,0.42862543886609
89.799,14.292,0.430079,813,324,0.42845272447743
89.999,14.3238,0.422945,831,337,0.42846898723265
90.199,14.3556,0.425606,824,332,0.42841374736033
90.399,14.3875,0.425878,832,335,0.42838566988672
90.599,14.4193,0.413823,808,335,0.42836059318785
90.799,14.4511,0.420087,813,332,0.42821521725598
90.999,14.483,0.417459,820,337,0.42813393508342
91.199,14.5148,0.41573,819,338,0.42802718573258
91.399,14.5466,0.411159,822,343,0.42790421387526
91.599,14.5784,0.422067,812,330,0.4277367617365
91.799,14.6103,0.406167,798,337,0.42768006411914
91.999,14.6421,0.404405,797,338,0.42746493347795
92.199,14.6739,0.419298,809,331,0.42723433414317
92.399,14.7058,0.407018,802,338,0.42715497080174
92.599,14.7376,0.388792,793,349,0.42695360109372
92.799,14.7694,0.382997,789,352,0.42657198508278
92.999,14.8013,0.382199,792,354,0.42613623523195
93.199,14.8331,0.380577,789,354,0.42569686287963
93.399,14.8649,0.366957,786,364,0.42524566425084
93.599,14.8968,0.371528,790,362,0.42466277760833
93.799,14.9286,0.359649,775,365,0.42413142983225
93.999,14.9604,0.362115,773,362,0.42348660553392
94.199,14.9922,0.370727,782,359,0.42287288947858
94.399,15.0241,0.367958,777,359,0.4223514305838
94.599,15.0559,0.385159,784,348,0.42180749627796
94.799,15.0877,0.385417,798,354,0.42144101131518
94.999,15.1196,0.394305,808,351,0.42108077120203
95.199,15.1514,0.411043,805,336,0.42081301349001
95.399,15.1832,0.42732,815,327,0.42071531335511
95.599,15.2151,0.438811,823,321,0.42078136022156
95.799,15.2469,0.439791,825,321,0.42096165661934
95.999,15.2787,0.451642,818,309,0.42114995005315
96.199,15.3106,0.451499,823,311,0.42145487055262
96.399,15.3424,0.4635,832,305,0.42175531184709
96.599,15.3742,0.477032,836,296,0.42217275872862
96.799,15.4061,0.481034,859,301,0.42272135114133
96.999,15.4379,0.469671,848,306,0.42330447762992
97.199,15.4697,0.475779,853,303,0.42376814285362
97.399,15.5015,0.457568,833,310,0.42428825142509
97.599,15.5334,0.473043,847,303,0.42462104891083
97.799,15.5652,0.472414,854,306,0.42510526842173
97.999,15.597,0.469528,856,309,0.42557835573751
98.199,15.6289,0.463042,861,316,0.42601785218013
98.399,15.6607,0.478335,870,307,0.42638809365833
98.599,15.6925,0.465398,847,309,0.42690756272175
